사용일자,노선명,역명,승차총승객수
20230701,1호선,종각,25682
20230701,1호선,시청,22671
20230701,1호선,서울역,47048
20230702,1호선,종각,14314
20230702,1호선,시청,10296
20230702,1호선,서울역,34963
20230703,1호선,종각,42953
20230703,1호선,시청,27066
20230703,1호선,서울역,53435
20230704,1호선,종각,44000
20230704,1호선,시청,28036
20230704,1호선,서울역,52983
20230705,1호선,종각,44080
20230705,1호선,시청,28508
20230705,1호선,서울역,53987
20230706,1호선,종각,46115
20230706,1호선,시청,30160
20230706,1호선,서울역,58137
20230707,1호선,종각,44812
20230707,1호선,시청,28395
20230707,1호선,서울역,62062
20230708,1호선,종각,25431
20230708,1호선,시청,16250
20230708,1호선,서울역,45122
20230709,1호선,종각,12656
20230709,1호선,시청,9497
20230709,1호선,서울역,33960
20230710,1호선,종각,42461
20230710,1호선,시청,25879
20230710,1호선,서울역,53588
20230711,1호선,종각,43054
20230711,1호선,시청,26930
20230711,1호선,서울역,53394
20230713,1호선,종각,46648
20230713,1호선,시청,30336
20230713,1호선,서울역,57654
20230714,1호선,종각,44724
20230714,1호선,시청,31980
20230714,1호선,서울역,62023
20230715,1호선,종각,23521
20230715,1호선,시청,16649
20230715,1호선,서울역,41204
20230716,1호선,종각,14176
20230716,1호선,시청,10358
20230716,1호선,서울역,33701
20230717,1호선,종각,42477
20230717,1호선,시청,26304
20230717,1호선,서울역,53370
20230718,1호선,종각,43184
20230718,1호선,시청,27542
20230718,1호선,서울역,52292
20230719,1호선,종각,45445
20230719,1호선,시청,28539
20230719,1호선,서울역,53358
20230720,1호선,종각,45739
20230720,1호선,시청,29156
20230720,1호선,서울역,55752
20230721,1호선,종각,44995
20230721,1호선,시청,28716
20230721,1호선,서울역,61501
20230722,1호선,종각,26176
20230722,1호선,시청,15870
20230722,1호선,서울역,41829
20230723,1호선,종각,12477
20230723,1호선,시청,8784
20230723,1호선,서울역,32362
20230724,1호선,종각,41793
20230724,1호선,시청,26038
20230724,1호선,서울역,53808
20230725,1호선,종각,44132
20230725,1호선,시청,27753
20230725,1호선,서울역,54473
20230726,1호선,종각,44327
20230726,1호선,시청,27824
20230726,1호선,서울역,55980
20230727,1호선,종각,44400
20230727,1호선,시청,28117
20230727,1호선,서울역,58460
20230728,1호선,종각,44047
20230728,1호선,시청,27880
20230728,1호선,서울역,60888
20230729,1호선,종각,22484
20230729,1호선,시청,13961
20230729,1호선,서울역,43029
20230730,1호선,종각,14110
20230730,1호선,시청,10857
20230730,1호선,서울역,37990
20230731,1호선,종각,40867
20230731,1호선,시청,25494
20230731,1호선,서울역,55632
